,abdom_protein,abdomen,abdominal_dist,abdomino_appearance,age,capillary_time,cell_vol,extreme_temp,feces,mucous,nasogastric_PH,nasogastric_reflux,nasogastric_tube,pain,peripheral_pulse,peristalsis,protein,pulse,rectal_temp,respiration,surgical_lesion
26,1.3,3.0,2.0,2.0,1,1.0,37.0,3.0,1.0,1.0,,1.0,1.0,,1.0,3.0,5.5,48.0,37.8,12.0,2
27,,,,,1,,,,,,,,,,,,,,,,2
28,,,1.0,,1,1.0,45.0,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,76.0,48.0,37.7,,2
29,,5.0,4.0,,1,2.0,66.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,7.5,96.0,37.7,30.0,1
30,7.4,3.0,2.0,3.0,1,2.0,52.0,3.0,3.0,4.0,6.0,3.0,,2.0,3.0,4.0,8.2,108.0,37.2,12.0,1
31,,5.0,3.0,,1,1.0,43.0,2.0,4.0,1.0,,1.0,2.0,3.0,1.0,3.0,6.6,60.0,37.2,,1
32,6.6,4.0,,2.0,1,1.0,49.0,1.0,4.0,1.0,,,,3.0,1.0,1.0,8.6,64.0,38.2,28.0,1
33,,4.0,4.0,,1,2.0,52.0,3.0,4.0,4.0,,3.0,3.0,5.0,3.0,4.0,6.6,100.0,,30.0,1
34,,2.0,3.0,,1,2.0,73.0,4.0,,3.0,,3.0,,4.0,3.0,4.0,8.4,104.0,,24.0,1
35,1.0,5.0,1.0,2.0,1,2.0,51.0,,,5.0,,2.0,1.0,,3.0,,6.0,112.0,38.3,16.0,2
36,2.0,1.0,1.0,1.0,1,1.0,56.0,,1.0,,,1.0,,5.0,3.0,3.0,80.0,72.0,37.8,,1
37,5.0,3.0,2.0,1.0,1,1.0,32.0,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,3.0,6.6,52.0,38.6,,2
38,,,,,9,,,,,,,,,,,,,146.0,39.2,96.0,1
39,,5.0,3.0,3.0,1,2.0,63.0,3.0,4.0,6.0,,3.0,1.0,5.0,3.0,3.0,6.5,88.0,,,1
40,0.1,,,,9,,47.0,,,,,,,,,,8.5,150.0,39.0,72.0,1
41,,2.0,1.0,,1,1.0,47.0,3.0,2.0,3.0,,1.0,1.0,3.0,1.0,3.0,7.0,60.0,38.0,12.0,2
42,2.0,5.0,4.0,2.0,1,1.0,52.0,3.0,,4.0,,1.0,1.0,4.0,4.0,4.0,67.0,120.0,,,1
43,2.0,5.0,,3.0,1,2.0,57.0,3.0,,4.0,,1.0,2.0,4.0,3.0,4.0,69.0,140.0,35.4,24.0,1
44,,5.0,4.0,3.0,1,2.0,60.0,4.0,4.0,4.0,,1.0,1.0,5.0,3.0,4.0,6.5,120.0,,,1
45,,5.0,4.0,,1,2.0,65.0,3.0,4.0,4.0,,2.0,2.0,5.0,,4.0,7.5,60.0,37.9,15.0,1
46,,,1.0,,1,1.0,37.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,6.5,48.0,37.5,16.0,2
47,,1.0,3.0,3.0,1,2.0,54.0,3.0,3.0,3.0,7.0,2.0,2.0,2.0,3.0,3.0,6.5,80.0,38.9,44.0,1
48,4.1,1.0,2.0,2.0,1,2.0,73.0,3.0,2.0,5.0,,2.0,1.0,4.0,3.0,1.0,5.5,84.0,37.2,48.0,2
49,1.6,2.0,2.0,1.0,1,1.0,49.0,1.0,,2.0,,1.0,1.0,1.0,1.0,3.0,9.1,46.0,38.6,,2
50,,5.0,2.0,3.0,1,2.0,,1.0,4.0,3.0,,,,3.0,,3.0,,84.0,37.4,36.0,1
51,,2.0,1.0,,1,1.0,43.0,1.0,2.0,3.0,,,,1.0,1.0,3.0,7.7,,,,2
52,,,,,1,1.0,41.0,,,,,,,,,,6.4,40.0,38.6,20.0,2
53,4.5,5.0,3.0,3.0,1,2.0,57.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,3.0,3.0,8.1,114.0,40.3,36.0,1
54,,,4.0,2.0,9,1.0,38.0,3.0,4.0,5.0,,,3.0,3.0,,3.0,,160.0,38.6,20.0,1
55,,,,,1,,24.0,,,,,,,,,,6.7,,,,1
56,,,3.0,,1,1.0,42.0,2.0,,2.0,,2.0,2.0,5.0,,3.0,7.7,64.0,,36.0,1
57,,4.0,3.0,3.0,1,,53.0,4.0,4.0,3.0,,,2.0,5.0,3.0,4.0,5.9,,,20.0,1
58,,5.0,4.0,,1,2.0,60.0,3.0,4.0,3.0,,2.0,1.0,5.0,3.0,4.0,,96.0,,,1
59,,5.0,,,1,1.0,37.0,1.0,4.0,3.0,,1.0,1.0,2.0,1.0,1.0,6.7,48.0,37.8,32.0,2
60,,1.0,2.0,,1,1.0,44.0,2.0,1.0,1.0,,1.0,2.0,1.0,2.0,2.0,7.7,60.0,38.5,,2
61,6.0,,,1.0,1,1.0,64.0,2.0,4.0,2.0,,,2.0,3.0,1.0,,8.0,88.0,37.8,22.0,1
62,2.0,,4.0,2.0,1,2.0,65.0,4.0,,4.0,,1.0,1.0,2.0,3.0,4.0,82.0,130.0,38.2,16.0,2
63,5.0,5.0,2.0,3.0,1,2.0,44.0,3.0,4.0,4.0,7.0,2.0,1.0,3.0,1.0,3.0,7.5,64.0,39.0,36.0,1
64,1.0,4.0,2.0,2.0,1,1.0,26.0,3.0,3.0,3.0,,1.0,1.0,3.0,1.0,3.0,72.0,60.0,,36.0,1
65,2.0,4.0,1.0,1.0,1,2.0,58.0,1.0,3.0,5.0,2.0,3.0,1.0,3.0,1.0,3.0,74.0,72.0,37.9,,1
66,,2.0,1.0,1.0,1,1.0,49.0,1.0,3.0,1.0,,1.0,2.0,1.0,1.0,3.0,7.2,54.0,38.4,24.0,2
67,,,,,1,1.0,55.0,1.0,,3.0,5.5,3.0,2.0,,,,7.2,52.0,,16.0,2
68,4.1,2.0,,2.0,1,1.0,42.0,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,3.0,6.3,48.0,38.0,12.0,2
69,,4.0,3.0,,1,1.0,43.0,3.0,4.0,,4.5,2.0,2.0,3.0,,,7.6,60.0,37.0,20.0,1
70,7.0,1.0,1.0,2.0,1,1.0,46.0,1.0,1.0,1.0,,,2.0,1.0,1.0,2.0,5.9,48.0,37.8,28.0,2
71,,,,,1,,,,,,,,,,,,,56.0,37.7,,1
72,2.6,,1.0,2.0,1,1.0,54.0,1.0,1.0,5.0,7.0,3.0,2.0,4.0,1.0,3.0,7.5,52.0,38.1,24.0,1
73,,,,,9,,37.0,,,,,,,,,,4.9,,,,1
74,2.0,,,2.0,9,2.0,48.0,3.0,,5.0,,,,2.0,3.0,3.0,57.0,100.0,39.7,,1
75,,,2.0,,1,1.0,37.0,3.0,3.0,1.0,,,,3.0,3.0,3.0,68.0,38.0,37.6,20.0,1
76,,1.0,1.0,,1,1.0,33.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,77.0,52.0,38.7,20.0,2
77,,5.0,3.0,,1,3.0,46.0,3.0,4.0,3.0,,2.0,3.0,5.0,3.0,3.0,5.9,,,,1
78,,4.0,2.0,3.0,1,2.0,69.0,1.0,,6.0,5.0,3.0,2.0,3.0,3.0,4.0,8.9,96.0,37.5,18.0,1
79,3.6,4.0,2.0,3.0,1,1.0,47.0,3.0,4.0,4.0,,,,4.0,3.0,3.0,6.4,98.0,36.4,35.0,1
80,2.0,5.0,2.0,3.0,1,1.0,36.0,,3.0,1.0,,1.0,3.0,2.0,3.0,3.0,,40.0,37.3,,1
81,,,1.0,,9,1.0,36.0,3.0,1.0,2.0,,,,3.0,1.0,4.0,5.7,100.0,38.1,80.0,1
82,,,4.0,,1,2.0,68.0,3.0,,6.0,,1.0,1.0,5.0,3.0,,7.8,,38.0,24.0,1
83,,,3.0,2.0,1,2.0,40.0,1.0,4.0,2.0,5.5,2.0,,2.0,3.0,3.0,4.5,60.0,37.8,80.0,1
84,,4.0,2.0,,1,3.0,45.0,2.0,,3.0,,2.0,2.0,3.0,3.0,1.0,6.2,54.0,38.0,30.0,2
85,1.4,5.0,3.0,3.0,1,2.0,50.0,3.0,4.0,4.0,,,3.0,5.0,3.0,4.0,7.7,88.0,,40.0,1
86,3.9,,,2.0,1,1.0,50.0,,,,,,,,,,7.0,40.0,,16.0,1
87,2.3,3.0,2.0,2.0,1,1.0,42.0,1.0,3.0,5.0,,1.0,2.0,3.0,1.0,3.0,7.5,64.0,39.0,40.0,2
88,,,1.0,,1,1.0,38.0,1.0,,1.0,,,,1.0,1.0,1.0,61.0,42.0,38.3,10.0,2
89,,1.0,,,1,,53.0,,1.0,,1.0,3.0,,2.0,,,86.0,52.0,38.0,16.0,1
90,4.5,5.0,3.0,3.0,1,2.0,57.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,3.0,3.0,8.1,114.0,40.3,36.0,1
91,,1.0,1.0,,1,1.0,42.0,3.0,3.0,1.0,,1.0,2.0,1.0,1.0,1.0,6.2,50.0,38.8,20.0,2
92,,5.0,3.0,,1,1.0,38.0,3.0,4.0,1.0,,1.0,1.0,5.0,3.0,3.0,6.5,,,,1
93,,1.0,1.0,,1,1.0,48.0,4.0,1.0,3.0,,1.0,1.0,,1.0,2.0,8.6,48.0,37.5,30.0,2
94,,5.0,3.0,,1,1.0,41.0,,3.0,2.0,,1.0,2.0,3.0,1.0,3.0,69.0,48.0,37.3,20.0,1
95,,2.0,1.0,,1,1.0,44.0,,3.0,3.0,,1.0,2.0,,,3.0,8.5,84.0,,36.0,1
96,,5.0,3.0,,1,1.0,55.0,3.0,4.0,4.0,1.0,3.0,,2.0,3.0,3.0,60.0,88.0,38.1,32.0,2
97,,5.0,2.0,,1,1.0,41.0,2.0,1.0,3.0,,1.0,1.0,1.0,1.0,3.0,60.0,44.0,37.7,40.0,2
98,2.6,5.0,3.0,2.0,1,2.0,59.0,3.0,3.0,6.0,,2.0,1.0,2.0,3.0,4.0,8.0,108.0,39.6,51.0,2
99,,1.0,,,1,1.0,34.0,3.0,1.0,1.0,,,,1.0,3.0,3.0,66.0,40.0,38.2,16.0,2
100,,5.0,,,1,2.0,,4.0,4.0,4.0,,1.0,,5.0,3.0,4.0,,60.0,,20.0,1
101,,,,,1,1.0,37.0,3.0,,1.0,,,,2.0,,,57.0,40.0,38.3,16.0,2
102,,1.0,2.0,,9,1.0,39.0,1.0,2.0,1.0,,,,3.0,1.0,3.0,5.3,140.0,38.0,68.0,1
103,3.7,5.0,1.0,1.0,1,1.0,48.0,1.0,2.0,3.0,5.7,3.0,2.0,4.0,3.0,4.0,6.6,52.0,37.8,24.0,1
104,,5.0,2.0,,1,2.0,36.0,1.0,4.0,3.0,,,2.0,2.0,,3.0,7.3,70.0,,36.0,1
105,,,,,1,1.0,43.0,,1.0,3.0,,1.0,1.0,,3.0,,6.1,52.0,38.3,96.0,1
106,,,2.0,,1,1.0,44.0,1.0,1.0,3.0,,,,1.0,1.0,3.0,7.0,50.0,37.3,32.0,2
107,2.0,5.0,4.0,3.0,1,2.0,53.0,4.0,4.0,2.0,,,,4.0,3.0,4.0,64.0,60.0,38.7,32.0,1
108,2.8,,3.0,2.0,9,1.0,36.0,3.0,,2.0,,1.0,1.0,3.0,3.0,3.0,6.6,84.0,38.4,40.0,1
109,,5.0,2.0,,1,2.0,60.0,3.0,4.0,5.0,,1.0,2.0,2.0,4.0,3.0,7.5,70.0,,16.0,1
110,2.0,,2.0,1.0,1,1.0,38.0,3.0,,,,,,1.0,,3.0,58.0,40.0,38.3,16.0,1
111,,5.0,1.0,,1,1.0,39.0,2.0,,1.0,,1.0,1.0,1.0,1.0,3.0,56.0,40.0,,,1
112,10.0,,,,1,,,,,,,,,,,,,60.0,36.8,28.0,1
113,,5.0,3.0,,1,,50.0,3.0,4.0,4.0,,1.0,2.0,5.0,,4.0,77.0,44.0,38.4,24.0,1
114,,,2.0,,1,1.0,45.0,3.0,,1.0,,,,3.0,1.0,3.0,70.0,,,40.0,2
115,,5.0,3.0,,1,1.0,42.0,1.0,4.0,1.0,,1.0,2.0,3.0,1.0,3.0,65.0,44.0,38.0,12.0,1
116,,5.0,3.0,1.0,1,2.0,,3.0,4.0,4.0,5.5,3.0,,3.0,3.0,4.0,6.7,,39.5,,1
117,1.0,,1.0,2.0,1,1.0,34.0,1.0,,1.0,,1.0,,5.0,,3.0,75.0,78.0,36.5,30.0,1
118,,,1.0,,1,1.0,46.0,2.0,,2.0,,1.0,1.0,1.0,1.0,3.0,70.0,56.0,38.1,20.0,2
119,,4.0,2.0,2.0,1,1.0,39.0,1.0,3.0,2.0,,1.0,1.0,2.0,1.0,3.0,6.0,54.0,39.4,66.0,1
120,1.0,4.0,1.0,2.0,1,2.0,67.0,,1.0,6.0,,2.0,,4.0,,3.0,10.2,80.0,38.3,40.0,1
121,1.0,,1.0,1.0,1,1.0,39.0,2.0,1.0,1.0,,,,3.0,1.0,1.0,62.0,40.0,38.7,28.0,2
122,2.0,4.0,3.0,1.0,1,1.0,45.0,1.0,4.0,3.0,,1.0,2.0,4.0,1.0,4.0,7.5,64.0,38.2,24.0,1
123,,1.0,3.0,,1,1.0,37.0,3.0,1.0,4.0,,1.0,2.0,1.0,1.0,1.0,5.5,48.0,37.6,20.0,1
124,,4.0,2.0,,1,1.0,41.0,4.0,4.0,1.0,,2.0,2.0,3.0,1.0,3.0,7.6,42.0,38.0,68.0,1
125,,,2.0,2.0,1,1.0,33.0,3.0,,3.0,,,,5.0,1.0,4.0,6.5,,38.7,,1
126,1.0,,1.0,2.0,1,1.0,45.0,3.0,1.0,,,1.0,2.0,4.0,3.0,4.0,7.9,50.0,37.4,32.0,1
127,1.0,,3.0,,1,1.0,31.0,,,3.0,,,,2.0,,3.0,61.0,84.0,37.4,20.0,2
128,,,1.0,,1,1.0,44.0,,,1.0,,1.0,2.0,,,,7.6,49.0,38.4,,1
129,,,,,1,,,,,,,,,,,,,30.0,37.8,12.0,1
130,,,2.0,,1,1.0,44.0,3.0,,1.0,1.5,3.0,1.0,3.0,1.0,3.0,6.0,88.0,37.6,36.0,1
131,1.0,5.0,1.0,2.0,1,1.0,43.0,3.0,3.0,3.0,,1.0,2.0,4.0,1.0,3.0,73.0,48.0,38.0,20.0,1
132,,3.0,1.0,,1,1.0,40.0,1.0,,1.0,,,,2.0,1.0,3.0,5.7,40.0,37.9,24.0,1
133,,,,,1,2.0,59.0,3.0,2.0,4.0,,,2.0,5.0,,4.0,6.3,100.0,,,1
134,2.9,,3.0,2.0,9,1.0,33.0,3.0,2.0,3.0,4.4,2.0,2.0,5.0,3.0,1.0,4.9,136.0,38.1,48.0,1
135,,5.0,3.0,,1,2.0,46.0,3.0,4.0,3.0,,2.0,3.0,5.0,3.0,3.0,5.9,,,,1
136,,5.0,4.0,,1,1.0,,1.0,4.0,1.0,,2.0,2.0,1.0,1.0,2.0,,48.0,38.0,,1
137,,1.0,1.0,,1,1.0,42.0,1.0,1.0,3.0,,1.0,1.0,1.0,2.0,1.0,71.0,56.0,38.0,,2
138,1.0,,,1.0,1,1.0,50.0,1.0,,,,1.0,1.0,3.0,1.0,3.0,7.0,60.0,38.0,32.0,2
139,,5.0,1.0,,1,1.0,31.0,3.0,4.0,1.0,,1.0,1.0,2.0,1.0,2.0,7.3,44.0,38.1,9.0,2
140,,,,,1,1.0,64.0,,,5.0,,,,,,,6.8,42.0,36.0,30.0,2
141,3.9,5.0,4.0,3.0,1,2.0,57.0,4.0,4.0,6.0,,,,5.0,3.0,4.0,4.5,120.0,,,1
142,7.0,1.0,1.0,2.0,1,2.0,46.0,1.0,1.0,1.0,,,2.0,1.0,1.0,2.0,5.9,48.0,37.8,28.0,2
143,,5.0,4.0,,1,1.0,75.0,3.0,4.0,6.0,2.0,2.0,3.0,2.0,3.0,4.0,81.0,84.0,37.1,40.0,2
144,,,3.0,,1,1.0,50.0,3.0,3.0,2.0,,1.0,2.0,2.0,3.0,3.0,80.0,80.0,,32.0,1
145,,5.0,4.0,,1,1.0,42.0,1.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,4.0,71.0,48.0,38.2,,1
146,,4.0,3.0,,1,1.0,33.0,2.0,1.0,3.0,6.5,2.0,1.0,3.0,1.0,4.0,6.5,44.0,38.0,12.0,1
147,5.2,4.0,2.0,,1,2.0,57.0,,4.0,6.0,6.2,3.0,2.0,2.0,3.0,4.0,8.0,132.0,38.3,,1
148,,,,,1,,34.0,,1.0,,,1.0,1.0,1.0,,1.0,63.0,48.0,38.7,24.0,2
149,,2.0,2.0,,1,1.0,33.0,3.0,,1.0,,,,2.0,1.0,3.0,64.0,44.0,38.9,14.0,2
150,4.3,4.0,2.0,3.0,1,2.0,75.0,4.0,4.0,6.0,4.0,3.0,1.0,4.0,3.0,4.0,,,39.3,,1
151,2.0,,4.0,3.0,1,2.0,68.0,3.0,,4.0,2.0,1.0,2.0,,3.0,4.0,64.0,100.0,,,1
152,,2.0,2.0,1.0,1,1.0,50.0,3.0,3.0,1.0,,1.0,2.0,1.0,1.0,3.0,7.3,48.0,38.6,20.0,2
153,,5.0,4.0,,1,1.0,41.0,1.0,,3.0,,,2.0,3.0,1.0,3.0,65.0,48.0,38.8,40.0,1
154,,2.0,2.0,1.0,1,1.0,49.0,3.0,,4.0,5.0,,2.0,1.0,3.0,4.0,8.3,48.0,38.0,20.0,2
155,5.0,3.0,2.0,1.0,1,1.0,36.0,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,3.0,6.6,52.0,38.6,20.0,2
156,,5.0,4.0,,1,2.0,52.0,1.0,,3.0,2.0,3.0,2.0,,,4.0,75.0,60.0,37.8,24.0,1
157,,,1.0,,1,1.0,,3.0,,1.0,,,,3.0,1.0,3.0,,42.0,38.0,40.0,2
158,,3.0,2.0,2.0,1,1.0,44.0,1.0,1.0,2.0,,1.0,3.0,2.0,1.0,1.0,7.5,,,12.0,2
159,1.0,5.0,,2.0,1,,35.0,,,,,1.0,1.0,4.0,,,58.0,,,,1
160,,,,,1,1.0,40.0,,,,,,,,,,8.5,42.0,38.3,24.0,1
161,,,2.0,1.0,1,2.0,38.0,3.0,3.0,,,1.0,2.0,3.0,,3.0,56.0,60.0,39.5,10.0,2
162,2.0,,1.0,3.0,1,1.0,46.0,1.0,3.0,3.0,,1.0,1.0,5.0,3.0,3.0,46.0,66.0,38.0,20.0,1
163,,4.0,2.0,,1,2.0,50.0,1.0,4.0,5.0,,2.0,2.0,3.0,1.0,3.0,8.0,76.0,38.7,,1
164,2.0,,3.0,1.0,1,1.0,56.0,,4.0,5.0,,,1.0,,,3.0,64.0,120.0,39.4,48.0,2
165,,1.0,1.0,1.0,1,1.0,43.0,1.0,2.0,1.0,,,,3.0,1.0,1.0,5.9,40.0,38.3,18.0,2
166,,1.0,1.0,,1,1.0,,1.0,,1.0,,1.0,2.0,3.0,1.0,3.0,6.3,44.0,,24.0,2
167,,4.0,2.0,,1,1.0,55.0,1.0,,3.0,6.5,3.0,2.0,2.0,1.0,4.0,8.5,104.0,38.4,40.0,1
168,,5.0,4.0,,1,2.0,,,,,,1.0,3.0,5.0,,,,65.0,,24.0,1
169,,,1.0,,1,1.0,35.0,1.0,1.0,3.0,,,,,1.0,1.0,7.2,44.0,37.5,20.0,2
170,6.0,,3.0,3.0,1,,68.0,3.0,,5.0,,2.0,,3.0,3.0,3.0,5.8,86.0,39.0,16.0,1
171,2.0,,3.0,3.0,1,1.0,57.0,3.0,,3.0,2.0,3.0,1.0,2.0,3.0,4.0,66.0,129.0,38.5,48.0,1
172,3.4,4.0,3.0,2.0,1,2.0,69.0,3.0,4.0,5.0,,3.0,,2.0,3.0,4.0,8.6,104.0,,,1
173,,,4.0,,1,,,3.0,,6.0,,,,4.0,4.0,,,,,,1
174,,,,,1,,,,,,,,,,,,,,,,1
175,,2.0,1.0,,1,1.0,48.0,1.0,3.0,3.0,,1.0,2.0,3.0,1.0,3.0,66.0,60.0,38.2,30.0,1
176,2.8,,,2.0,1,1.0,,,,4.0,4.3,1.0,,4.0,,,,68.0,,14.0,1
177,2.0,,4.0,3.0,1,2.0,45.0,3.0,4.0,4.0,,1.0,1.0,5.0,3.0,4.0,70.0,60.0,,30.0,1
178,,5.0,4.0,,1,2.0,,3.0,4.0,5.0,,1.0,2.0,4.0,3.0,3.0,,100.0,38.5,,2
179,,4.0,3.0,3.0,1,2.0,47.0,3.0,4.0,5.0,6.5,3.0,2.0,4.0,1.0,3.0,7.5,84.0,38.4,30.0,1
180,,,2.0,,1,1.0,35.0,,1.0,1.0,5.3,3.0,1.0,3.0,,,7.5,48.0,37.8,14.0,2
181,,,4.0,,1,2.0,68.0,3.0,,6.0,,1.0,1.0,5.0,3.0,,7.8,,38.0,24.0,1
182,1.0,,1.0,1.0,1,1.0,44.0,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,68.0,56.0,37.8,16.0,2
183,,1.0,1.0,,1,1.0,43.0,2.0,1.0,2.0,,1.0,3.0,1.0,2.0,1.0,65.0,68.0,38.2,32.0,2
184,,,,,1,2.0,54.0,4.0,,6.0,,,,,3.0,3.0,,120.0,38.5,60.0,1
185,,,1.0,,1,1.0,39.0,2.0,,1.0,,2.0,1.0,,3.0,3.0,6.7,64.0,39.3,90.0,1
186,4.3,5.0,3.0,3.0,1,1.0,32.0,4.0,4.0,1.0,,3.0,3.0,3.0,3.0,3.0,6.1,80.0,38.4,30.0,1
187,,,1.0,1.0,1,1.0,33.0,1.0,,,,,,,1.0,1.0,53.0,60.0,38.5,,1
188,3.0,4.0,1.0,1.0,1,1.0,30.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,6.0,60.0,38.3,16.0,1
189,,3.0,1.0,3.0,1,1.0,23.0,,3.0,4.0,,1.0,1.0,3.0,1.0,3.0,6.7,40.0,37.1,8.0,1
190,,,1.0,,9,1.0,37.0,2.0,1.0,1.0,,,,4.0,1.0,1.0,4.7,100.0,,44.0,2
191,2.0,,3.0,1.0,1,1.0,48.0,1.0,4.0,1.0,,2.0,1.0,3.0,1.0,3.0,74.0,48.0,38.2,18.0,1
192,,,4.0,,1,2.0,58.0,3.0,,4.0,,,,4.0,3.0,3.0,7.6,60.0,,48.0,1
193,,1.0,1.0,,1,1.0,37.0,1.0,4.0,2.0,,,,2.0,1.0,2.0,56.0,88.0,37.9,24.0,2
194,,,2.0,,1,,42.0,3.0,1.0,1.0,,,,,1.0,1.0,64.0,44.0,38.0,12.0,2
195,2.3,3.0,1.0,2.0,1,2.0,63.0,1.0,2.0,5.0,,1.0,2.0,2.0,1.0,2.0,7.5,60.0,38.5,20.0,2
196,,5.0,2.0,,1,2.0,70.0,3.0,4.0,,,2.0,1.0,2.0,3.0,4.0,8.5,96.0,38.5,36.0,1
197,,,1.0,,1,2.0,34.0,1.0,3.0,1.0,,,,1.0,1.0,3.0,66.0,60.0,38.3,20.0,2
198,,2.0,2.0,,1,1.0,49.0,3.0,3.0,2.0,,,,2.0,1.0,1.0,59.0,60.0,38.5,40.0,2
199,,3.0,3.0,2.0,1,1.0,40.0,1.0,3.0,3.0,,1.0,2.0,3.0,,1.0,6.6,48.0,37.3,12.0,1
200,3.4,5.0,3.0,1.0,1,1.0,45.0,1.0,3.0,3.0,,1.0,2.0,4.0,1.0,4.0,7.4,86.0,38.5,,1
201,2.0,5.0,,3.0,1,,41.0,,,,,1.0,1.0,,,,55.0,48.0,37.5,40.0,1
202,,1.0,1.0,,1,1.0,35.0,1.0,4.0,1.0,,1.0,2.0,2.0,1.0,3.0,5.7,36.0,37.2,9.0,2
203,3.0,,2.0,1.0,1,1.0,36.0,3.0,,3.0,,,2.0,4.0,1.0,4.0,6.6,,39.2,23.0,1
204,,5.0,4.0,,1,2.0,,3.0,4.0,5.0,,1.0,2.0,4.0,3.0,3.0,,100.0,38.5,,2
205,,5.0,3.0,,1,2.0,50.0,2.0,3.0,4.0,,1.0,2.0,4.0,3.0,4.0,65.0,96.0,38.5,30.0,1
206,,,,,1,,45.0,,,,,,,,,,8.7,,,,1
207,,5.0,3.0,,1,2.0,64.0,3.0,4.0,5.0,,3.0,2.0,,3.0,3.0,89.0,88.0,37.8,80.0,1
